資料日期,代號,名稱,投資比例(%),持有股數
2026-06-05,2330,台積電,8.81,1967000
2026-06-05,5536,聖暉*,8.04,3754000
2026-06-05,2454,聯發科,7.06,867000
2026-06-05,6139,亞翔,4.5,2940000
2026-06-05,2360,致茂,4.0,823000
2026-06-05,3105,穩懋,3.8,4143000
2026-06-05,2345,智邦,3.79,804000
2026-06-05,3491,昇達科,3.55,967000
2026-06-05,6223,旺矽,3.35,307000
2026-06-05,6669,緯穎,3.17,296000
2026-06-05,2383,台光電,3.05,330000
2026-06-05,6147,頎邦,3.03,5916000
2026-06-05,4958,臻鼎-KY,3.01,3147000
2026-06-05,2303,聯電,2.24,9007000
2026-06-05,6285,啟碁,2.23,4029000
2026-06-05,3017,奇鋐,2.0,407000
2026-06-05,6257,矽格,1.98,4687000
2026-06-05,3264,欣銓,1.95,4508000
2026-06-05,2059,川湖,1.95,183000
2026-06-05,2472,立隆電,1.92,2790000
2026-06-05,3583,辛耘,1.84,1121000
2026-06-05,6488,環球晶,1.76,1146000
2026-06-05,2467,志聖,1.61,1461000
2026-06-05,2377,微星,1.52,5688000
2026-06-05,1785,光洋科,1.43,5527000
2026-06-05,3008,大立光,1.4,201000
2026-06-05,6274,台燿,1.34,440000
2026-06-05,7769,鴻勁,1.28,93000
2026-06-05,8016,矽創,1.27,2211000
2026-06-05,3036,文曄,1.23,2311000
2026-06-05,2327,國巨*,1.2,823000
2026-06-05,3702,大聯大,1.18,5420000
2026-06-05,3711,日月光投控,1.1,1008000
2026-06-05,2316,楠梓電,1.07,3374000
2026-06-05,6531,愛普*,1.06,554000
2026-06-05,2368,金像電,0.98,392000
2026-06-05,6278,台表科,0.86,2201000
2026-06-05,8996,高力,0.8,376000
2026-06-05,2376,技嘉,0.74,1064000
2026-06-05,2351,順德,0.51,1350000
2026-06-05,6805,富世達,0.45,121000
2026-06-05,2451,創見,0.32,519000
2026-06-05,5274,信驊,0.3,9000
2026-06-05,2885,元大金,0.26,2114420
2026-06-05,3376,新日興,0.16,359000
2026-06-05,6177,達麗,0.02,194350
2026-06-05,3443,創意,0.01,1000
2026-06-05,2886,兆豐金,0.0,1000
2026-06-05,4441,振大環球,0.0,4000
2026-06-05,3706,神達,0.0,1400
2026-06-05,3665,貿聯-KY,0.0,136
2026-06-05,2881,富邦金,0.0,250
2026-06-05,1519,華城,0.0,600
2026-06-05,8046,南電,0.0,1000
2026-06-05,8358,金居,0.0,1000
2026-06-08,2330,台積電,8.99,1967000
2026-06-08,5536,聖暉*,7.85,3754000
2026-06-08,2454,聯發科,7.03,867000
2026-06-08,6139,亞翔,4.26,2940000
2026-06-08,2360,致茂,4.02,823000
2026-06-08,2345,智邦,3.88,804000
2026-06-08,3105,穩懋,3.73,4143000
2026-06-08,3491,昇達科,3.44,967000
2026-06-08,6223,旺矽,3.37,307000
2026-06-08,4958,臻鼎-KY,3.21,3147000
